SELLDATE,SELLMONTH,SELLYEAR,ADDRESS,CITY,STATE,ZIP, PRICE ,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YARDSPACE,YEARBUILT,SELLAGE,PRICE/SQFT,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
24-Aug-21,Aug-21,2021,982 Crystal Lake Dr,Frisco,TX,75036,"$575,000.00 ",5,4,The Vistas At Waterstone Ph 1,3928,11151,7223,2006,15,$146.38 ,82,14627703,33.1209798,-96.8975843
20-Oct-21,Oct-21,2021,5125 Sylvan Shores Dr,Frisco,TX,75036,"$698,000.00 ",4,3.5,The Shores At Waterstone Ph,4097,9104,5007,2013,8,$170.37 ,174,14662095,33.1219665,-96.9038507
7-Apr-21,Apr-21,2021,5080 Havasu Dr,Frisco,TX,75036,"$725,000.00 ",4,3.5,The Shores At Waterstone Ph,5103,9104,4001,2014,7,$142.07 ,174,14525400,33.1215888,-96.9043537
21-Oct-21,Oct-21,2021,869 Crystal Lake Dr,Frisco,TX,75036,"$535,000.00 ",4,3,The Vistas At Waterstone Ph 1,2573,8581,6008,2007,14,$207.93 ,82,14655540,33.12164,-96.895962
26-Apr-21,Apr-21,2021,5189 Sylvan Shores Dr,Frisco,TX,75036,"$575,000.00 ",6,3.5,The Shores At Waterstone Ph,4680,9104,4424,2012,9,$122.86 ,174,14531557,33.122329,-96.903913
24-Sep-21,Sep-21,2021,843 San Clemente Dr,Frisco,TX,75036,"$1,299,000.00 ",5,4.5,The Shores At Waterstone Ph 1,5775,14636,8861,2006,15,$224.94 ,174,14626802,33.123796,-96.8992399
28-Sep-22,Sep-22,2022,5221 Sylvan Shores Dr,Frisco,TX,75036,"$799,999.00 ",5,3.5,The Shores At Waterstone Ph,3815,9104,5289,2012,10,$209.70 ,66,20116814,33.122521,-96.903913
29-Dec-22,Dec-22,2022,999 Crystal Lake Dr,Frisco,TX,75036,"$560,000.00 ",4,3.5,THE VISTAS AT WATERSTONE,2715,7797,5082,2006,16,$206.26 ,87,20186053,33.120434,-96.897701
28-Oct-22,Oct-22,2022,681 Deerwood Ln,Frisco,TX,75036,"$699,900.00 ",4,3,The Vistas At Waterstone Ph,3601,9932,6331,2009,13,$194.36 ,86,20123468,33.12383,-96.893525
2-Mar-23,Mar-23,2023,1345 Roma Dr,Frisco,TX,75036,"$739,000.00 ",4,2.5,The Shores At Waterstone Ph,3482,9801,6319,2013,10,$212.23 ,188,20210339,33.120712,-96.904312
16-Dec-21,Dec-21,2021,5707 Cape Cod Dr,Frisco,TX,75036,"$1,950,000.00 ",5,6.5,The Shores At Waterstone Ph 1,6480,14898,8418,2006,15,$300.93 ,174,14656219,33.125392,-96.900001
