SOLD_MONTH,PROPERTYTYPE,ADDRESS,CITY,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,HOA_MONTH,MLS,LATITUDE,LONGITUDE
,Single Family Residential,4314 Brett Dr,Frisco,75035,409900,4,2,HILLCREST ESTATES PHASE I,2142,6970,1994,191,,14680479,33.114851,-96.788488
,Single Family Residential,11317 Sunrise Ln,Frisco,75035,465000,4,2.5,Plantation Resort Sunrise,2927,7542,1996,159,28,14595558,33.1221489,-96.7798711
,Single Family Residential,11453 Wentworth Dr,Frisco,75035,509000,3,2.5,Preston Vineyards North,2981,7405,2004,171,28,20204545,33.139357,-96.780034
,Single Family Residential,5651 Sky Ridge Dr,Frisco,75035,700000,4,3.5,Tuscany Meadows Ph One,3657,7405,2004,191,40,20067823,33.1255173,-96.7899347
,Single Family Residential,10305 Preston Vineyard Dr,Frisco,75035,395000,3,2,Preston Vineyards Sec One,1765,6534,1991,224,,20009597,33.1361815,-96.7920053
,Single Family Residential,4402 Ruth Borchardt Dr,Frisco,75035,495000,3,2,Cecile Place,1968,7841,1997,252,,20060999,33.1150856,-96.7937
,Single Family Residential,5684 Sky Ridge Dr,Frisco,75035,424500,4,2.5,Tuscany Meadows Ph One,2761,8712,2005,154,39,14502860,33.1258839,-96.7893316
,Single Family Residential,10113 Concord Dr,Frisco,75035,330000,3,2,Preston Vineyards Sec One,1648,5227,1989,200,,14715837,33.135424,-96.793776
,Single Family Residential,11520 Eaglebend Ln,Frisco,75035,450000,4,2.5,Plantation Spgs Ph 1,3101,8712,1999,145,37,14560607,33.1153204,-96.778494
,Single Family Residential,9775 Bell Rock Rd,Frisco,75035,360000,3,2,Sedona Ph Two,1906,3920,2010,189,60,14554063,33.1380762,-96.7973644
,Single Family Residential,10903 Sweetwater Dr,Frisco,75035,515000,4,3,Hillcrest Estates Sec II Ph III,2684,8712,1997,192,25,14651499,33.1113374,-96.78485
,Single Family Residential,10412 Belfort Dr,Frisco,75035,319900,3,2,Hillcrest Estates Ph V,1711,7841,1995,187,45,14605890,33.1097137,-96.7890867
,Single Family Residential,11911 Chattanooga Dr,Frisco,75035,339990,3,2,Plantation Resort Phase III B,1757,6534,1996,194,28,14512835,33.1297058,-96.7741147
,Single Family Residential,5205 Mosscreek Ln,Frisco,75035,319999,3,2,Plantation Resort Lake Brook Farms Ph 3,1912,7841,1995,167,,14527950,33.1213791,-96.7747252
,Single Family Residential,4416 Brett Dr,Frisco,75035,499900,4,2.5,Hillcrest Estates Ph I,2454,8712,1994,204,,20031619,33.115722,-96.788436
,Single Family Residential,9479 Crossvine Ln,Frisco,75035,413000,4,2,Smith Estates,2331,8712,2000,177,21,14585859,33.115321,-96.799694
,Single Family Residential,3696 Furrow Rd,Frisco,75035,825000,6,4,"Retreat At Stonebriar Ph 1, The",3858,14462,2018,214,81,20012423,33.1084879,-96.7942022
,Single Family Residential,4909 Twilight Dr,Frisco,75035,599000,4,2.5,Hillcrest Meadows Ph I,3017,12632,1998,199,25,14747055,33.119166,-96.7928841
,Single Family Residential,4912 Baton Rouge Blvd,Frisco,75035,337500,3,2,Plantation Resort Ph Iid The,1777,7405,1995,190,28,14576480,33.1192951,-96.787095
,Single Family Residential,11266 Newberry Dr,Frisco,75035,379900,3,2,Lakes Of Preston Vineyards Ph 4 The,1927,5663,2000,197,44,14661515,33.1346294,-96.7815656
,Single Family Residential,9902 Gristmill Ln,Frisco,75035,850000,5,4,"Retreat At Stonebriar Ph 1, The",3858,6229,2022,220,81,20024188,33.1077368,-96.7962622
,Single Family Residential,4248 Crooked Stick Dr,Frisco,75035,575000,4,2.5,Plantation Spgs Ph 1,2696,7841,1999,213,40,20249207,33.1136914,-96.7793691
,Single Family Residential,4512 Ruth Borchardt Dr,Frisco,75035,499900,4,2,Cecile Place,2388,7841,1998,209,,20204917,33.1163151,-96.7931698
,Single Family Residential,10106 Joy Dr,Frisco,75035,524000,4,2.5,Hillcrest Meadows Ph II,2657,9148,1999,197,25,14669499,33.1220798,-96.7923819
,Single Family Residential,11870 Barrymore Dr,Frisco,75035,500000,5,3.5,Parkside Estates 2,3250,9148,2005,154,21,14633673,33.1370104,-96.7759803
,Single Family Residential,5810 Plantation Ln,Frisco,75035,650000,4,3,Plantation Resort Ph 2a The,3182,7841,1996,204,30,20042285,33.1266731,-96.7783022
,Single Family Residential,5216 Lafayette Dr,Frisco,75035,750000,5,4,Plantation Resort Lake Brook F,3610,8712,2001,208,,14765956,33.121796,-96.77621
,Single Family Residential,5708 Charleston Dr,Frisco,75035,470000,4,3,Plantation Resort Ph Ia The,3182,7405,1992,148,33,14548446,33.1258025,-96.7850593
,Single Family Residential,10217 Napa Valley Dr,Frisco,75035,450000,3,2,Preston Vineyards Sec One,2222,6534,1991,203,,20235570,33.1338664,-96.792361
,Single Family Residential,11097 Paisano Dr,Frisco,75035,789000,5,3.5,Stonebryck Manor,4010,13765,2013,197,75,20197537,33.135588,-96.78414
,Single Family Residential,11213 Alexandria Dr,Frisco,75035,650000,4,4,Plantation Resort Ph 2a The,4027,8276,1994,161,28,14710444,33.128096,-96.780852
,Single Family Residential,5010 Plantation Ln,Frisco,75035,625000,3,2,Plantation Resort Lake Brook Farms Ph 4,2447,7405,1995,255,,20155087,33.1200769,-96.7793691
